Cell_Index	Time	Event_length	89Y_pHH3__S28	113In_EpCAM	115In_Pan-CK	127I_IdU	130Te_TePhe	140Ce_EQ_Beads	141Pr_pPDK1__S241	142Nd_cCaspase_3__D175	143Nd_C-MYC	144Nd_Lysozyme	145Nd_FABP1	146Nd_pMKK4_SEK1__S257	147Sm_pBTK1__Y511	148Nd_pSRC__Y418	149Sm_p4E-BP1__T37_46	150Nd_pRB__S807_811	151Eu_pPKCa__T297	152Sm_pAKT__T308	153Eu_pCREB__S133	154Sm_pSMAD1_5_9	155Gd_pAKT__S473	156Gd_pNF-kB__S529	157Gd_pMKK3_MKK6__S189_207	158Gd_pP38__T180_Y182	159Tb_pMAPKAPK2__T334	160Gd_pAMPKa__T172	161Dy_pBAD__S112	162Dy_LRIG1	163Dy_pP90RSK__T359	164Dy_p120-Catenin__T310	165Ho_Beta-Catenin__Active	166Er_pGSK3b__S9	167Er_pERK1_2__T202_Y204	168Er_pSMAD2_3	169Tm_GFP	170Er_pMEK1_2__S221	171Yb_CLCA1	172Yb_pS6__S235_236	173Yb_DCAMKL1	174Yb_CHGA	175Lu_CD44	176Yb_Cyclin_B1	191Ir_DNA_1	193Ir_DNA_2	198Pt_Cisplatin	209Bi_DiMeHH3__K4	Center	Offset	Width	Residual
1	6.992000102996826	21.0	4.723011493682861	42.8502082824707	89.72344207763672	11.339225769042967	14.30056095123291	4.757993698120117	34.67305374145508	11.850436210632324	0.0	0.0	7.945921421051025	7.908735275268555	8.928592681884766	17.047971725463867	21.9643611907959	76.98007202148438	17.811912536621094	6.808723449707031	14.684966087341307	0.4563407897949219	2.312103748321533	6.51625394821167	1.8903059959411619	86.61920166015625	18.155385971069336	27.489641189575195	2.632202386856079	6.482467651367188	10.526725769042967	117.16949462890624	31.207231521606445	44.34766006469727	31.36873435974121	49.6982421875	0.0	17.717775344848633	0.0	0.4233115911483765	8.606987953186035	4.487545967102051	24.45632553100586	37.68728637695313	967.1887817382812	1702.539306640625	80.49581146240234	1419.7452392578125	1018.9450073242188	113.16500091552734	71.39600372314453	140.63699340820312
2	12.630000114440918	30.0	0.14110347628593445	1.3392114639282229	259.05242919921875	0.0	4.707069396972656	4.055567264556885	50.20530319213867	49.82383346557617	86.10940551757812	7.533366680145264	0.07124293595552443	28.17590141296387	35.59834289550781	23.515539169311523	7.019679069519043	119.38023376464844	10.048565864562988	23.397314071655273	8.778980255126951	9.111940383911133	7.3834896087646475	258.0902099609375	12.005829811096193	109.52101135253906	17.865978240966797	581.047607421875	19.88555145263672	2.0318951606750493	160.42881774902344	87.74114990234375	17.146173477172848	98.9745101928711	178.5575714111328	66.07659912109375	64.52102661132811	320.89581298828125	0.0	4.123076438903809	3.0956361293792725	804.3811645507812	0.0	150.088623046875	2442.365966796875	5014.529296875	86.3088150024414	3754.447265625	1313.8699951171875	110.50800323486328	96.2750015258789	94.5500030517578
3	15.33899974822998	16.0	3.4623105525970463	86.60472869873047	67.015625	2.7364540100097656	7.5207862854003915	0.0	31.76731300354004	37.40741729736328	1.8955521583557131	4.707143783569336	25.24995994567871	6.129753112792969	26.944490432739254	18.23590087890625	35.61001205444336	105.19369506835938	15.305476188659668	14.581839561462402	26.19431114196777	7.407217025756836	0.0	67.77757263183594	27.30460357666016	90.34589385986328	30.325611114501953	49.61566925048828	22.6347713470459	7.084542751312256	12.28970432281494	99.00330352783205	37.39070129394531	20.31539726257324	43.86111068725586	14.614147186279295	10.633574485778807	61.79876708984375	0.0	47.3213119506836	0.0	8.345524787902832	0.0	21.80145835876465	1070.2274169921877	2254.142333984375	562.6378784179689	1552.4556884765625	765.3579711914062	70.8219985961914	32.812999725341804	97.35800170898438
4	17.48699951171875	19.0	1.8192479610443115	60.77627944946289	119.92980194091795	0.4794899225234986	33.74316024780273	1.137257695198059	58.33696746826172	14.702569961547852	30.383026123046875	2.9522361755371094	165.78004455566406	6.460367679595947	16.232311248779293	16.633598327636722	48.63910293579102	61.473838806152344	20.83110809326172	22.287012100219727	17.726165771484375	4.989028930664063	13.04443645477295	17.847476959228516	12.62925624847412	32.119033813476555	18.73018455505371	154.0384979248047	54.98446655273438	0.8767140507698059	5.932670593261719	158.22291564941406	47.82880401611328	39.15064239501953	97.44320678710938	77.2350845336914	0.0	0.0	5.428038120269775	2.017195463180542	0.0	12.654949188232422	0.0	85.64254760742188	3435.466552734375	6546.11083984375	512.0870971679689	1198.4547119140625	762.2239990234375	70.59700012207031	38.44400024414063	103.18699645996094
5	19.79199981689453	30.0	0.0	14.359166145324707	32.96703338623047	3.485041856765747	2.3626368045806885	0.139700248837471	80.53165435791016	371.2192077636719	14.834139823913574	9.877375602722168	178.32046508789062	51.06736373901367	33.01261520385742	9.535737991333008	19.672231674194336	5.789798259735107	10.216687202453613	24.855642318725586	40.45682907104492	8.602705001831055	6.928375720977782	29.11530113220215	33.67316055297852	156.17059326171875	88.39073181152344	19.87133026123047	205.0095977783203	6.778055667877197	71.31336975097656	92.31415557861328	56.17015075683594	72.514404296875	46.2624397277832	99.15463256835938	0.0	3.8064799308776855	8.475631713867188	268.72891235351557	9.903122901916504	14.112208366394045	0.0	47.50967025756836	2880.409912109375	5070.421875	1362.6998291015625	236.5642547607422	1394.404052734375	123.55500030517578	106.46199798583984	112.2030029296875
6	26.90099906921387	14.0	0.0	31.965091705322266	4.7657437324523935	0.4668725430965424	1.5328277349472046	0.0	15.95042324066162	37.12448501586914	0.0	2.6442341804504395	6.3961567878723145	2.696467638015747	2.420907020568848	3.653847932815552	14.177556991577148	0.0	0.0	0.0	3.3781001567840576	2.663824319839477	0.9491341710090636	5.399647235870361	3.963268756866455	10.21551513671875	19.949766159057614	2.985447883605957	19.471399307250977	2.8297834396362305	18.564617156982425	3.1911110877990723	3.567448854446411	58.03976821899414	2.6060736179351807	0.0	0.0	0.0	13.785253524780273	232.4701995849609	9.124826431274414	0.0	7.901525020599365	0.0	1079.7830810546877	1681.6361083984375	528.2008666992189	4.769312381744385	618.1829833984375	85.93099975585938	37.57699966430664	126.44000244140624
7	28.39800071716309	26.0	0.0	23.203859329223636	3.8718297481536874	0.0	6.000969886779785	0.0	8.730398178100586	213.7188873291016	9.20943546295166	3.9643070697784415	315.30047607421875	18.526506423950195	8.40760326385498	13.566655158996582	1.6665586233139038	1.672429442405701	0.0	1.8744596242904663	7.126397132873535	0.24798618257045746	5.666096687316895	0.2955857217311859	8.775210380554201	10.98434352874756	13.706765174865724	9.468564987182617	58.40509796142578	6.256415843963622	7.165731430053711	12.4539155960083	43.84041976928711	0.0	82.82684326171875	35.72740173339844	0.0	9.098466873168944	0.0	0.0	0.0	0.0	0.0	33.115291595458984	3814.363037109375	6191.95458984375	1368.2000732421875	141.3720245361328	1168.9849853515625	162.73699951171875	117.46700286865234	173.3979949951172
8	30.4689998626709	31.0	1.7720086574554443	5.121652603149414	129.58735656738278	6.477663993835449	3.1740424633026123	0.0	17.725849151611328	39.49948120117188	3.6907742023468018	0.8854805827140808	22.4311580657959	8.849241256713867	97.57793426513672	30.729358673095703	6.641201496124268	0.0	0.0	6.729866981506348	18.23778343200684	1.5694905519485474	7.283991813659668	18.8212890625	30.13665008544922	31.264448165893555	19.591190338134766	5.4828152656555185	21.844032287597656	0.0	24.820390701293945	9.231855392456056	83.40628814697266	262.29086303710943	96.21253204345705	97.72335815429688	32.805004119873054	37.2284049987793	0.0	0.566913366317749	15.109363555908205	18.52029037475586	0.0	29.186037063598636	2626.484375	5495.927734375	500.27911376953125	73.78594970703125	1156.1080322265625	132.17399597167972	129.28999328613278	248.9669952392578
9	41.02899932861328	17.0	249.4181365966797	63.93820190429688	42.46347427368164	0.1039348915219307	3.187161922454834	2.114928960800171	30.348735809326172	5.540679454803467	3.3252177238464355	0.0	0.0	46.10015869140625	14.182639122009276	36.736907958984375	0.1888456344604492	47.09378051757813	93.52043914794922	117.61390686035156	23.947406768798828	3.2101235389709477	0.4637298882007599	40.63881301879883	22.76902008056641	110.01573181152344	279.64273071289057	166.65896606445312	11.071399688720703	20.796003341674805	4.930132389068604	126.248046875	18.27357482910156	24.27850341796875	1.7885520458221436	3.564004182815552	18.96866607666016	79.98381042480469	1.1976830959320068	44.371341705322266	0.0	0.0	0.0	88.56673431396484	2360.51708984375	4268.8662109375	713.1294555664062	530.2332763671875	728.4910278320312	76.80000305175781	37.64300155639648	69.15000152587889
