Event #	Time	Event_length	75As_(As75Di)	89Y_pHH3__S28__(Y89Di)	111Cd_(Cd111Di)	112Cd_(Cd112Di)	113In_EpCAM__v3__(In113Di)	114Cd_(Cd114Di)	115In_Pan-CK__v3__(In115Di)	116Cd_(Cd116Di)	117Sn_(Sn117Di)	120Sn_(Sn120Di)	124Te_(Te124Di)	126Te_(Te126Di)	127I_IdU_(I127Di)	128Te_(Te128Di)	130Te_TePhe_(Te130Di)	131Xe_(Xe131Di)	133Cs_(Cs133Di)	137Ba_(Ba137Di)	138Ba_(Ba138Di)	139La_(La139Di)	140Ce_EQ_Beads_(Ce140Di)	141Pr_pPDK1__S241___v3__(Pr141Di)	142Nd_cCaspase_3__D175___v2__(Nd142Di)	143Nd_C-MYC_(Nd143Di)	144Nd_Lysozyme__5___v2__(Nd144Di)	145Nd_FABP1__1___v2__(Nd145Di)	146Nd_pMKK4_SEK1__S257___v2__(Nd146Di)	147Sm_pBTK1__Y511___1__(Sm147Di)	148Nd_pSRC__Y418___v3__(Nd148Di)	149Sm_p4E-BP1__T37_46__(Sm149Di)	150Nd_pRB__S807_811___(Nd150Di)	151Eu_pPKCa__T297___v2__(Eu151Di)	152Sm_pAKT__T308___v5__(Sm152Di)	153Eu_pCREB__S133___v4__(Eu153Di)	154Sm_pSMAD1_5_9__v3__(Sm154Di)	155Gd_pAKT__S473___3___v2__(Gd155Di)	156Gd_pNF-kB__S529___v3__(Gd156Di)	157Gd_pMKK3_MKK6__S189_207___v2__(Gd157Di)	158Gd_pP38__T180_Y182__(Gd158Di)	159Tb_pMAPKAPK2__T334___v2__(Tb159Di)	160Gd_pAMPKa__T172__(Gd160Di)	161Dy_pBAD__S112___v3__(Dy161Di)	162Dy_LRIG1__1__(Dy162Di)	163Dy_pP90RSK__T359___Hm___v3__(Dy163Di)	164Dy_p120-Catenin__T310__(Dy164Di)	165Ho_Beta-Catenin__Active___1___v3__(Ho165Di)	166Er_pGSK3b__S9___v2__(Er166Di)	167Er_pERK1_2__T202_Y204___v2__(Er167Di)	168Er_pSMAD2_3__v3__(Er168Di)	169Tm_GFP_(Tm169Di)	170Er_pMEK1_2__S221___v2__(Er170Di)	171Yb_CLCA1__v3__(Yb171Di)	172Yb_pS6__S235_236___v2__(Yb172Di)	173Yb_DCAMKL1__4__(Yb173Di)	174Yb_CHGA__2___v2__(Yb174Di)	175Lu_CD44__v3__(Lu175Di)	176Yb_Cyclin_B1__2___v2__(Yb176Di)	176Lu_(Lu176Di)	190Pt_(Pt190Di)	191Ir_DNA_1_(Ir191Di)	192Pt_(Pt192Di)	193Ir_DNA_2_(Ir193Di)	194Pt_(Pt194Di)	195Pt_(Pt195Di)	196Pt_(Pt196Di)	198Pt_Cisplatin_(Pt198Di)	199Hg_(Hg199Di)	200Hg_(Hg200Di)	209Bi_DiMeHH3__K4__(Bi209Di)	Center	Offset	Width	Residual
1	6.992000102996826	21.0	0.0	4.723011493682861	0.0	0.0	42.8502082824707	0.0	89.72344207763672	0.0	0.0	0.0	5.821791172027588	0.0	11.339225769042969	4.162773132324219	14.30056095123291	0.0	0.0	0.0	0.0	3.335116386413574	4.757993698120117	34.67305374145508	11.850436210632324	0.0	0.0	7.945921421051025	7.908735275268555	8.928592681884766	17.047971725463867	21.9643611907959	76.98007202148438	17.811912536621094	6.808723449707031	14.684966087341309	0.4563407897949219	2.312103748321533	6.51625394821167	1.890305995941162	86.61920166015625	18.155385971069336	27.489641189575195	2.632202386856079	6.4824676513671875	10.526725769042969	117.16949462890625	31.207231521606445	44.347660064697266	31.36873435974121	49.6982421875	0.0	17.717775344848633	0.0	0.42331159114837646	8.606987953186035	4.487545967102051	24.45632553100586	37.687286376953125	37.961936950683594	0.0	967.1887817382812	0.0	1702.539306640625	0.0	0.0	4.183260917663574	80.49581146240234	7.1597676277160645	7.509897708892822	1419.7452392578125	1018.9450073242188	113.16500091552734	71.39600372314453	140.63699340820312
2	12.630000114440918	30.0	0.0	0.14110347628593445	0.0	0.0	1.3392114639282227	0.0	259.05242919921875	3.8380024433135986	8.689132690429688	9.196248054504395	2.7106306552886963	3.009185791015625	0.0	0.0	4.707069396972656	0.0	0.0	0.6765879392623901	18.180400848388672	0.0	4.055567264556885	50.20530319213867	49.82383346557617	86.10940551757812	7.533366680145264	0.07124293595552444	28.175901412963867	35.59834289550781	23.515539169311523	7.019679069519043	119.38023376464844	10.048565864562988	23.397314071655273	8.778980255126953	9.111940383911133	7.383489608764648	258.0902099609375	12.005829811096191	109.52101135253906	17.865978240966797	581.047607421875	19.88555145263672	2.031895160675049	160.42881774902344	87.74114990234375	17.14617347717285	98.9745101928711	178.5575714111328	66.07659912109375	64.52102661132812	320.89581298828125	0.0	4.123076438903809	3.0956361293792725	804.3811645507812	0.0	150.088623046875	148.55337524414062	20.24894905090332	2442.365966796875	0.0	5014.529296875	18.616403579711914	0.0	8.025087356567383	86.3088150024414	6.013620376586914	0.0	3754.447265625	1313.8699951171875	110.50800323486328	96.2750015258789	94.55000305175781
3	15.33899974822998	16.0	0.0	3.462310552597046	0.0	0.6464788317680359	86.60472869873047	0.0	67.015625	2.365557909011841	0.240451842546463	5.604927062988281	2.6807520389556885	0.0	2.7364540100097656	12.079170227050781	7.520786285400391	0.0	0.0	0.0	14.747579574584961	0.0	0.0	31.76731300354004	37.40741729736328	1.895552158355713	4.707143783569336	25.24995994567871	6.129753112792969	26.944490432739258	18.23590087890625	35.61001205444336	105.19369506835938	15.305476188659668	14.581839561462402	26.194311141967773	7.407217025756836	0.0	67.77757263183594	27.304603576660156	90.34589385986328	30.325611114501953	49.61566925048828	22.6347713470459	7.084542751312256	12.289704322814941	99.00330352783203	37.39070129394531	20.315397262573242	43.86111068725586	14.614147186279297	10.633574485778809	61.79876708984375	0.0	47.321311950683594	0.0	8.345524787902832	0.0	21.80145835876465	24.145099639892578	0.0	1070.2274169921875	0.0	2254.142333984375	0.5333606004714966	19.98053550720215	2.942249298095703	562.6378784179688	0.0	0.0	1552.4556884765625	765.3579711914062	70.8219985961914	32.8129997253418	97.35800170898438
4	17.48699951171875	19.0	0.0	1.8192479610443115	0.0	0.0	60.77627944946289	0.0634882003068924	119.92980194091797	7.287964820861816	0.710004448890686	18.40850830078125	0.4394235908985138	13.891107559204102	0.47948992252349854	6.629449367523193	33.743160247802734	0.0	0.0	0.0	11.125923156738281	0.37287378311157227	1.137257695198059	58.33696746826172	14.702569961547852	30.383026123046875	2.9522361755371094	165.78004455566406	6.460367679595947	16.232311248779297	16.63359832763672	48.639102935791016	61.473838806152344	20.83110809326172	22.287012100219727	17.726165771484375	4.9890289306640625	13.04443645477295	17.847476959228516	12.629256248474121	32.11903381347656	18.73018455505371	154.0384979248047	54.984466552734375	0.8767140507698059	5.932670593261719	158.22291564941406	47.82880401611328	39.15064239501953	97.44320678710938	77.2350845336914	0.0	0.0	5.428038120269775	2.017195463180542	0.0	12.654949188232422	0.0	85.64254760742188	89.50263214111328	0.0	3435.466552734375	0.0	6546.11083984375	71.15898895263672	8.356454849243164	7.3088250160217285	512.0870971679688	0.0	0.5477846264839172	1198.4547119140625	762.2239990234375	70.59700012207031	38.444000244140625	103.18699645996094
5	19.79199981689453	30.0	0.0	0.0	0.0	0.0	14.359166145324707	0.0	32.96703338623047	0.0	0.0	3.8964688777923584	7.459203243255615	4.590612888336182	3.485041856765747	10.722503662109375	2.3626368045806885	0.0	0.0	6.587859153747559	9.620391845703125	7.026395320892334	0.139700248837471	80.53165435791016	371.2192077636719	14.834139823913574	9.877375602722168	178.32046508789062	51.06736373901367	33.01261520385742	9.535737991333008	19.672231674194336	5.789798259735107	10.216687202453613	24.855642318725586	40.45682907104492	8.602705001831055	6.928375720977783	29.11530113220215	33.673160552978516	156.17059326171875	88.39073181152344	19.87133026123047	205.0095977783203	6.778055667877197	71.31336975097656	92.31415557861328	56.17015075683594	72.514404296875	46.2624397277832	99.15463256835938	0.0	3.8064799308776855	8.475631713867188	268.7289123535156	9.903122901916504	14.112208366394043	0.0	47.50967025756836	49.12584686279297	0.0	2880.409912109375	24.223323822021484	5070.421875	9.867156982421875	14.358487129211426	52.82078552246094	1362.6998291015625	0.0	11.488142013549805	236.5642547607422	1394.404052734375	123.55500030517578	106.46199798583984	112.2030029296875
6	26.900999069213867	14.0	0.0	0.0	0.0	0.0	31.965091705322266	0.0	4.765743732452393	0.0	0.0	0.0	0.0	2.124788999557495	0.46687254309654236	3.120431900024414	1.5328277349472046	0.0	0.0	0.0	11.769102096557617	0.0	0.0	15.950423240661621	37.12448501586914	0.0	2.6442341804504395	6.3961567878723145	2.696467638015747	2.4209070205688477	3.6538479328155518	14.177556991577148	0.0	0.0	0.0	3.3781001567840576	2.6638243198394775	0.9491341710090637	5.399647235870361	3.963268756866455	10.21551513671875	19.949766159057617	2.985447883605957	19.471399307250977	2.8297834396362305	18.564617156982422	3.1911110877990723	3.567448854446411	58.03976821899414	2.6060736179351807	0.0	0.0	0.0	13.785253524780273	232.47019958496094	9.124826431274414	0.0	7.901525020599365	0.0	0.0	0.0	1079.7830810546875	0.0	1681.6361083984375	0.0	0.0	16.813709259033203	528.2008666992188	0.0	0.0	4.769312381744385	618.1829833984375	85.93099975585938	37.57699966430664	126.44000244140625
7	28.398000717163086	26.0	0.0	0.0	0.0	0.0	23.203859329223633	0.0	3.8718297481536865	2.6348960399627686	3.799107551574707	12.621140480041504	1.518492341041565	6.0240325927734375	0.0	8.49133586883545	6.000969886779785	0.0	0.0	0.0	0.0	0.8398446440696716	0.0	8.730398178100586	213.71888732910156	9.20943546295166	3.9643070697784424	315.30047607421875	18.526506423950195	8.40760326385498	13.566655158996582	1.6665586233139038	1.6724294424057007	0.0	1.8744596242904663	7.126397132873535	0.24798618257045746	5.6660966873168945	0.2955857217311859	8.7752103805542	10.984343528747559	13.706765174865723	9.468564987182617	58.40509796142578	6.256415843963623	7.165731430053711	12.4539155960083	43.84041976928711	0.0	82.82684326171875	35.72740173339844	0.0	9.098466873168945	0.0	0.0	0.0	0.0	0.0	33.115291595458984	36.00157165527344	0.0	3814.363037109375	13.766387939453125	6191.95458984375	0.0	36.48577117919922	41.55634689331055	1368.2000732421875	0.0	0.0	141.3720245361328	1168.9849853515625	162.73699951171875	117.46700286865234	173.3979949951172
8	30.4689998626709	31.0	0.0	1.7720086574554443	0.0	0.0	5.121652603149414	0.0	129.5873565673828	2.71457576751709	0.0	1.8454539775848389	0.0	0.0	6.477663993835449	2.4917397499084473	3.1740424633026123	0.0	0.0	5.628507137298584	0.0	5.358640193939209	0.0	17.725849151611328	39.499481201171875	3.6907742023468018	0.8854805827140808	22.4311580657959	8.849241256713867	97.57793426513672	30.729358673095703	6.641201496124268	0.0	0.0	6.729866981506348	18.237783432006836	1.5694905519485474	7.283991813659668	18.8212890625	30.13665008544922	31.264448165893555	19.591190338134766	5.482815265655518	21.844032287597656	0.0	24.820390701293945	9.231855392456055	83.40628814697266	262.2908630371094	96.21253204345703	97.72335815429688	32.80500411987305	37.2284049987793	0.0	0.566913366317749	15.109363555908203	18.52029037475586	0.0	29.186037063598633	33.70006561279297	6.379892826080322	2626.484375	6.331174373626709	5495.927734375	29.13752555847168	32.665245056152344	0.964438259601593	500.27911376953125	14.660987854003906	0.0	73.78594970703125	1156.1080322265625	132.1739959716797	129.2899932861328	248.9669952392578
9	41.02899932861328	17.0	0.0	249.4181365966797	0.0	0.0	63.938201904296875	0.0	42.46347427368164	1.689156174659729	0.17462648451328278	3.001911163330078	0.0	2.052351236343384	0.1039348915219307	9.438754081726074	3.187161922454834	0.0	0.0	0.0	6.83026647567749	0.9285184144973755	2.114928960800171	30.348735809326172	5.540679454803467	3.3252177238464355	0.0	0.0	46.10015869140625	14.182639122009277	36.736907958984375	0.18884563446044922	47.093780517578125	93.52043914794922	117.61390686035156	23.947406768798828	3.2101235389709473	0.4637298882007599	40.63881301879883	22.769020080566406	110.01573181152344	279.6427307128906	166.65896606445312	11.071399688720703	20.796003341674805	4.9301323890686035	126.248046875	18.273574829101562	24.27850341796875	1.7885520458221436	3.5640041828155518	18.968666076660156	79.98381042480469	1.1976830959320068	44.371341705322266	0.0	0.0	0.0	88.56673431396484	86.25817108154297	0.0	2360.51708984375	0.0	4268.8662109375	12.177997589111328	18.734416961669922	40.3669548034668	713.1294555664062	5.558117389678955	0.0	530.2332763671875	728.4910278320312	76.80000305175781	37.643001556396484	69.1500015258789
